algorithm1,AAHC,TAAHC,mod. K-Means,HMM,PCA,ICA,AAHC,TAAHC,mod. K-Means,HMM,PCA,ICA,AAHC,TAAHC,mod. K-Means,HMM,PCA,ICA,AAHC,TAAHC,mod. K-Means,HMM,PCA,ICA,AAHC,TAAHC,mod. K-Means,HMM,PCA,ICA
PCA,0.005061552631653943,0.0050740275618629295,0.006623944457744962,0.00439487060606986,0.005797753591883195,0.006021565718048221,0.003880800854385257,0.004940880426852632,0.24057180188184096,0.016948996708303823,1.0,0.12436756581110495,0.003555716852508349,0.003750303599635792,0.0059599202774855255,0.004313499191966826,0.0054348613784587375,0.005903226442259621,0.003656219611767839,0.004174851464347171,0.006191871698696248,0.00487700402044217,0.005703482633334254,0.0057162361458877485,0.0031565477126905164,0.003995037751065141,0.005565434310813464,0.006170792907110607,0.005167499194834159,0.006674556923864133
ICA,0.004397148052302093,0.004820748708553989,0.006141805584084952,0.005089732337561658,0.005539865906038923,0.006014517778445531,0.005176259802077142,0.00527595488168269,0.07991079932284613,0.006011974935023703,0.12436756581110495,1.0,0.004795030507168655,0.004711892075560693,0.006663889075589352,0.005112295664100814,0.005633358796966061,0.005807864333214636,0.004530872313438007,0.005053994703327128,0.00668882539087817,0.005578255617837758,0.005860877061556071,0.0058887781280788955,0.004605489493716597,0.0047479861886192895,0.006744915195161978,0.007093411453625676,0.006451205893348028,0.006806259195351807
AAHC,0.005993231835547028,0.005266803674075176,0.004248461519954383,0.003202754975024672,0.0042132650023810935,0.004578666366008148,0.005815545323511773,0.006937179267847404,0.005012039748845171,0.0034112748033128305,0.003555716852508349,0.004795030507168655,1.0,0.3316593337520739,0.004935962386225277,0.0046636003791159465,0.004364961282681479,0.004289334356720634,0.38531824457566827,0.3653689548427372,0.005358917246131715,0.00412137772022939,0.004749642219715122,0.004187908508635131,0.3200824452378707,0.3184592406478726,0.00526113361771645,0.005202093575042121,0.004522399760169491,0.004029263301787832
TAAHC,0.005834102038014456,0.005397207169692974,0.003582810042919754,0.0038533033059727382,0.004700390227544182,0.003750836666263839,0.005541609435493405,0.006109357468426114,0.004882991782601015,0.0041807955033419135,0.003750303599635792,0.004711892075560693,0.3316593337520739,1.0,0.0042470402718824745,0.005186868212927652,0.004254369651699536,0.003955362719920629,0.3286010146045616,0.40611944294610386,0.004304622284317095,0.004967985187621235,0.004545056756830954,0.004178992033504559,0.3215827111976338,0.35173007573702153,0.004672523670649768,0.006265687331243355,0.004588645785504584,0.004524989472813844
mod. K-Means,0.004418785572420899,0.004596964472125925,0.006245313846789415,0.004214456592783029,0.005431239946678997,0.006328403505080528,0.0050188823486255005,0.00483385511105935,0.005815514219870851,0.006148064259219465,0.0059599202774855255,0.006663889075589352,0.004935962386225277,0.0042470402718824745,1.0,0.01698572592811416,0.26904282127506635,0.11461766876465287,0.004789578438187611,0.004919225724077348,0.6394407060812606,0.027362350069576467,0.26337971092135676,0.11062372042551019,0.003298856520976241,0.004583347960819989,0.5414983696767828,0.02439676810580902,0.2412333796378857,0.11051540956014698
HMM,0.0048535092281036555,0.004777036039603735,0.005782794807565452,0.0022664301892264317,0.005142682038109294,0.00516283827231755,0.004678304289758239,0.004359710922980525,0.004533774925980894,0.004523911682842346,0.004313499191966826,0.005112295664100814,0.0046636003791159465,0.005186868212927652,0.01698572592811416,1.0,0.030738874479573797,0.002992744330680995,0.005202011218757846,0.0043252688301019535,0.014447461970707422,0.2778745007236119,0.0247270436791298,0.004203567031770163,0.0052573712376835545,0.00416804831716703,0.01646908648565905,0.16427849447686313,0.022156639809826566,0.006570287101223134
PCA,0.004537195755586756,0.004763539874697282,0.005476156496028525,0.00385715018076376,0.005205347115156268,0.005778184182399628,0.004740035882575589,0.004771007014753502,0.00550685165265568,0.0048029721270173575,0.0054348613784587375,0.005633358796966061,0.004364961282681479,0.004254369651699536,0.26904282127506635,0.030738874479573797,1.0,0.15125540046387892,0.004136163645294502,0.004461280045260579,0.2528879213798018,0.02647094604377192,0.8604964391114227,0.1766522376069628,0.003479747053295742,0.004057676780333405,0.2370233477876386,0.02582730945290986,0.6424581982507257,0.14486920090559918
ICA,0.003679058598836984,0.0037180156488126627,0.005269460652376844,0.004903302745978879,0.0051806830611420525,0.0057677531609247705,0.005311652029745243,0.005435470759222903,0.0058233160064743725,0.005361891854154772,0.005903226442259621,0.005807864333214636,0.004289334356720634,0.003955362719920629,0.11461766876465287,0.002992744330680995,0.15125540046387892,1.0,0.004781614759806511,0.004775019553744783,0.12269692051691371,0.0015871837832427394,0.15731804851252498,0.41653038637331785,0.005008572967695178,0.004476909412118882,0.11808763492776216,0.003696353546881887,0.16280801595421054,0.29616879352313963
AAHC,0.00598408360331726,0.005151512595224931,0.003964058233455595,0.0045028980133737274,0.004186563468240412,0.004725294170653717,0.006050814086330575,0.006690561956984557,0.0049466765230376415,0.0037630315551034762,0.003656219611767839,0.004530872313438007,0.38531824457566827,0.3286010146045616,0.004789578438187611,0.005202011218757846,0.004136163645294502,0.004781614759806511,1.0,0.38692522714676336,0.004957648662412715,0.004123823415984731,0.0044717704080137624,0.004167612120009052,0.3537250907871183,0.34255235566706743,0.005203165225591114,0.005472367470997116,0.0045121474754503095,0.0042494539905671225
TAAHC,0.005905586997392126,0.005324744384419123,0.0038736570295388006,0.0040282605422020555,0.00473277375303794,0.004107339649345356,0.006043322741824977,0.007045095398286253,0.005435771411559264,0.003772128198443572,0.004174851464347171,0.005053994703327128,0.3653689548427372,0.40611944294610386,0.004919225724077348,0.0043252688301019535,0.004461280045260579,0.004775019553744783,0.38692522714676336,1.0,0.004539363830633191,0.004917162645834905,0.004931423461768615,0.004487484281154993,0.3336060576954226,0.3890132832556439,0.004501943687303447,0.005093498684802281,0.00491822457045904,0.004912594487264826
